index	officeName	address	latitude	longitude	nearestBranch2	nrstBrDist2	nearestBranch1	nrstBrDist1	nearestBranch	nrstBrDist
0	가남우체국	경기 여주시 가남읍 태평로 29	37.2017393	127.5451354	이천모가(취)	6808.787204	이천모가(취)	6808	안성삼죽(취)	20699
1	가정행정법원출장소	서울특별시 서초구 강남대로 193 (양재동)	37.4738618	127.0304589	서울서초우체국	1058.021065	서울서초우체국	1058	과천우면(취)	1242
2	가평북면우체국	경기 가평군 북면 가화로 967 (북면우체국)	37.8821732	127.5473771	가평우체국	6540.335632	가평우체국	6540	가평우체국	6540
3	가평우체국	경기 가평군 가평읍 보납로 2 (가평우체국)	37.8310677	127.5107432	청평우체국	13132.04265				
4	가평조종우체국	경기 가평군 조종면 현창로 31 (가평조종우체국)	37.8175108	127.3484262	상면우체국	1556.020125	가평우체국	14509	상면우체국	1556
5	강상우체국	경기 양평군 강상면 양평대교길 87	37.4825165	127.4851829	양평우체국	840.9243598	가평우체국	38748	퇴촌우체국	15980
6	강천우체국	경기 여주시 강천면 간매1길 10-1	37.2711424	127.7158482	북내우체국	7111.304622	강상우체국	31158	양동우체국	16821
7	강하우체국	경기 양평군 강하면 운심길 41	37.4961878	127.4107898	경기옥천우체국	4893.898871	강상우체국	6785	강상우체국	6785
8	강화갑곳리(취)	인천광역시 강화군 강화읍 갑룡길 33-1	37.7437302	126.4960365	강화우체국	780.736457	가평조종우체국	76225	통진우체국	10987
9	강화우체국	인천광역시 강화군 강화읍 강화대로 384	37.7460051	126.4877269	선원우체국	3655.593737	강화갑곳리(취)	780	강화갑곳리(취)	780
10	개군우체국	경기 양평군 개군면 하자포길 33	37.4258617	127.5367478	이포우체국	3703.565997	강상우체국	7781	강상우체국	7781
11	검단우체국	인천광역시 서구 검단로 487 (마전동)	37.5949114	126.6777746	인천원당우체국	1545.965683	강화갑곳리(취)	23105	김포풍무동(취)	4095
12	경기광주우체국	경기 광주시 행정타운로 49-10(송정동)	37.4278308	127.2531667	경기광주태전(취)	4583.973562	강하우체국	15935	경기광주태전(취)	4583
13	경기광주태전(취)	경기 광주시 고불로 109-9(태전동)	37.3926707	127.2261096	성남탑마을(취)	5807.230794	경기광주우체국	4583	과천우면(취)	18831
14	경기남양우체국	경기 화성시 남양읍 남양시장로 53	37.20902	126.8153287	마도우체국	3602.001428	경기광주태전(취)	41823	안산사동(취)	9703
15	경기옥천우체국	경기 양평군 옥천면 옥천길 42	37.5183979	127.4583429	양평우체국	4347.209853	강상우체국	4642	양평우체국	4347
16	경기용문우체국	경기 양평군 용문면 용문로 315	37.4819323	127.5898637	양평우체국	8874.967146	개군우체국	7811	개군우체국	7811
17	경기조안우체국	경기 남양주시 조안면 북한강로499번길 4	37.5649325	127.3189362	양평양서우체국	2102.649096	강하우체국	11175	덕소우체국	9840
18	경기파주우체국	경기 파주시 파주읍 향교말길 8	37.8327462	126.8169148	문산우체국	3794.030206	검단우체국	29149	문산우체국	3794
19	경인지방우정청	경기도 수원시 권선구 호매실로 22-55	37.2587056	126.9711223	수원금곡(취)	1753.994289	경기남양우체국	14908	수원금곡(취)	1753
20	경찰청우체국	서울 서대문구 통일로 97 (미근동)	37.5623976	126.96701	서울미근동(취)	380.7311282	검단우체국	25967	서울이화여자대학교우체국	1499
21	고양가좌동(취)	경기 고양시 일산서구 송산로 393 (가좌동)	37.6858862	126.7194845	고양대화동우체국	3219.265511	검단우체국	10755	고양일산우체국	5362
22	고양대화동우체국	경기 고양시 일산서구 일산로 664 (대화동)	37.6829634	126.7555092	고양주엽동우체국	1469.753334	고양가좌동(취)	3219	고양일산2동우체국	1496
23	고양덕양우체국	경기 고양시 덕양구 백양로 132 (화정동)	37.6370937	126.8353187	고양화정2동(취)	1165.37477	고양대화동우체국	8732	가평조종우체국	49819
24	고양마두1동(취)	경기 고양시 일산동구 일산로 284 (마두동)	37.6611309	126.7864856	국립암센터(취)	425.2754989	고양대화동우체국	3668	고양풍산동우체국	1187
25	고양백석동우체국	경기 고양시 일산동구 강송로 123 (백석동)	37.6498208	126.7859323	고양우편집중국	1082.605522	고양마두1동(취)	1256	고양주교동우체국	3828
26	고양본동우체국	경기 고양시 덕양구 벽제관로 24 (고양동)	37.7038666	126.901705	양주장흥우체국	3659.859756	고양덕양우체국	9473	고양덕양우체국	9473
27	고양삼송동(취)	경기도 고양시 덕양구 삼원로 15(삼송동)	37.6513258	126.8937965	고양지축동(취)	1158.762553	고양덕양우체국	5433	고양지축동(취)	1158
28	고양식사동(취)	경기 고양시 일산동구 위시티1로 7 상가2동 108호(식사동)	37.6755423	126.8114578	고양풍산동우체국	1549.17431	고양마두1동(취)	2736	고양풍산동우체국	1549
29	고양우편집중국	경기 고양시 일산동구 호수로 366(백석동)	37.6403518	126.7888593	국립암센터(취)	2695.372999	고양백석동우체국	1082	고양백석동우체국	1082
30	고양일산2동우체국	경기 고양시 일산서구 원일로 90 (일산2동)	37.6855998	126.7720131	고양중산우체국	1032.507778	고양대화동우체국	1496	고양중산우체국	1032
31	고양일산우체국	경기 고양시 일산동구 중앙로 1293 (장항동)	37.6612053	126.7713441	국립암센터(취)	1158.632077	고양마두1동(취)	1346	국립암센터(취)	1158
32	고양정발산동우체국	경기 고양시 일산동구 일산로 425 (정발산동)	37.6723516	126.7790138	국립암센터(취)	989.6594491	고양마두1동(취)	1411	국립암센터(취)	989
33	고양주교동우체국	경기 고양시 덕양구 호국로 793 (주교동)	37.6513522	126.8289517	고양화정2동(취)	2638.205012	고양덕양우체국	1680	고양덕양우체국	1680
34	고양주엽동우체국	경기 고양시 일산서구 주화로 80 (주엽동)	37.6700826	126.7593515	국립암센터(취)	2265.767515	고양일산우체국	1451	고양일산우체국	1451
35	고양중산우체국	경기 고양시 일산동구 중산로 226 (중산동)	37.6919881	126.7804558	국립암센터(취)	3087.392288	고양일산2동우체국	1032	고양정발산동우체국	2183
36	고양지축동(취)	경기 고양시 덕양구 삼송로 293 (지축동)	37.6529379	126.9066735	서울은평우체국	2200.126962	고양삼송동(취)	1158	고양본동우체국	5669
37	고양풍산동우체국	경기 고양시 일산동구 숲속마을로 56(풍동)	37.6675738	126.7971513	국립암센터(취)	1242.225156	고양마두1동(취)	1187	고양백석동우체국	2208
38	고양행신3동우체국	경기 고양시 덕양구 중앙로558번길 84 (행신동)	37.6265689	126.8387943	고양화정2동(취)	812.2823005	고양덕양우체국	1208	고양화정2동(취)	812
39	고양행신동우체국	경기 고양시 덕양구 충경로 34 (행신동)	37.6151267	126.8332975	고양화정2동(취)	1418.587555	고양행신3동우체국	1360	고양행신3동우체국	1360
40	고양화전동우체국	경기 고양시 덕양구 중앙로 181 (화전동)	37.6016125	126.8724282	서울수색우체국	3077.441184	고양행신동우체국	3788	고양화정2동(취)	4765
41	고양화정2동(취)	경기 고양시 덕양구 성신로 10 (화정동)	37.6275887	126.8297472	서울방화동우체국	5468.94674	고양행신3동우체국	812	고양덕양우체국	1165
42	고촌우체국	경기 김포시 고촌읍 은행영사정로5번길 54 (신곡리1070)	37.6024711	126.7704332	인천계양1동우체국	4180.462485	고양우편집중국	4511	고양우편집중국	4511
43	과천문원단지(취)	경기도 과천시 문원청계길 17-12 (문원동)	37.4248519	127.0092055	과천우체국	1396.417973	경찰청우체국	15718	과천우체국	1396
44	과천부림(취)	경기 과천시 부림2길 3-14 (부림동)	37.4377525	126.9962923	과천우체국	1571.96952	과천문원단지(취)	1835	과천우체국	1571
45	과천우면(취)	경기 과천시 장군마을길 32 (주암동)	37.4628985	127.0332886	서울서초우체국	1050.851466	과천부림(취)	4313	과천부림(취)	4313
46	과천우체국	경기 과천시 별양로 54 (별양동)	37.4237583	126.9935586	정부과천청사우체국	853.8004413	과천문원단지(취)	1396	정부과천청사우체국	853
47	광명우체국	경기 광명시 범안로 1017 (하안동)	37.4501755	126.8616936	광명철산동우체국	2511.365381	과천부림(취)	12046	광명철산동우체국	2511
48	광명철산1동(취)	경기 광명시 사성로103번길 14 (철산동)	37.4910463	126.8665218	서울구로1동우체국	683.3802985	광명우체국	4556	광명철산동우체국	2262
49	광명철산동우체국	경기 광명시 광덕산로 35-1 (하안동)	37.4711735	126.8722235	광명철산역전(취)	731.3479268	광명철산1동(취)	2262	정부과천청사우체국	11149
50	광명철산역전(취)	경기 광명시 철산로 5 (철산동)	37.4761269	126.8667981	서울가산디지털우체국	1230.910856	광명철산동우체국	731	광명철산동우체국	731
51	광운대학교(취)	서울 노원구 광운로 20(월계동)	37.6194277	127.05982	서울석관1동(취)	891.666667	경찰청우체국	10399	서울공릉2(취)	1894
52	광적우체국	경기 양주시 광적면 가래비6길 6	37.8234174	126.9858636	백석우체국	2443.921173	경기파주우체국	15056	동두천지행동우체국	9784
53	광화문우체국	서울특별시 종로구 종로 6 (서린동)	37.5699016	126.9782049	서울지방우정청	16.57104499	경찰청우체국	1297	서울지방우정청	16
54	교동우체국	인천광역시 강화군 교동면 교동남로 61	37.7784427	126.2824188	삼산우체국	8972.548131	강화우체국	18605	강화우체국	18605
55	교하우체국	경기 파주시 돌단풍길 12 (문발동)	37.7194577	126.7115047	파주동패(취)	1133	고양가좌동(취)	3792	파주동패(취)	1133
56	구리갈매우체국	경기 구리시 갈매길 97	37.6286625	127.1100272	서울신내동우체국	2166	광운대학교(취)	4579	고양지축동(취)	18279
57	구리교문동우체국	경기 구리시 안골로 32 (교문동)	37.5970367	127.1345779	구리수택동우체국	852	구리갈매우체국	4133	구리우체국	1072
58	구리수택3동(취)	경기 구리시 검배로 128 (토평동)	37.5938596	127.1519605	구리수택동우체국	1018	구리교문동우체국	1585	구리우체국	1414
59	구리수택동우체국	경기 구리시 체육관로74번길 51 (수택동)	37.5912968	127.1409583	구리우체국	1441	구리교문동우체국	852	구리교문동우체국	852
60	구리우체국	경기 구리시 건원대로34번길 34 (인창동)	37.6042103	127.1426683	미금도농(취)	1050	구리교문동우체국	1072	구리갈매우체국	3973
61	국립암센터(취)	경기 고양시 일산동구 일산로 323 (마두동)	37.6642972	126.7837913	파주운정동우체국	7346	고양마두1동(취)	425	고양마두1동(취)	425
62	국방부구내우체국	서울특별시 용산구 이태원로 22 (용산동3가)	37.5343751	126.9749436	서울용산우체국	738	경찰청우체국	3188	서울남영동우체국	1188
