officeAddr,officeName,telephoneNo
인천광역시 미추홀구 주안5동 19-23,인천삼덕아파트우편취급국,032-867-6100
인천광역시 부평구 일신동 100-4,인천일신풍림우편취급국,032-502-3706
인천광역시 미추홀구 용현동 253,인하대학교우편취급국,032-860-8867
강원도 정선군 정선읍 봉양리 46-4,정선애산우편취급국,033-563-2258
충청남도 천안시 동남구 신방동 2-15,천안서부우편취급국,041-577-9665
충청남도 천안시 서북구 신당동 251-13,천안신당동우편취급국,041-567-6353
충청북도 청주시 청원구 내덕2동 36,청주대학교우편취급국,043-213-3988
충청북도 청주시 상당구 북문로3가 89,청주시청우편취급국,043-255-4100
충청남도 홍성군 홍북읍 신경리 538,KEB하나은행,041-635-1111
경기도 파주시 아동동 286-25,파주금촌3동우편취급국,031-946-2003
경기도 파주시 광탄면 신산리 188-74,파주광탄우편취급국,031-949-0002
경기도 포천시 선단동 52,포천선단우편취급국,031-541-3500
충청북도 충주시 대소원면 검단리 123,한국교통대학교우편취급국,043-841-5099
대전광역시 대덕구 오정동 133,한남대학교우편취급국,042-629-7805
대전광역시 유성구 덕명동 16-1,한밭대학교우편취급국,042-823-4517
충청남도 홍성군 홍동면 금당리 705,홍성금당우편취급국,041-634-3600
충청남도 홍성군 홍성읍 고암리 548-7,홍성역전우편취급국,041-633-8817
충청남도 홍성군 홍성읍 남장리 366-2,홍성남장우편취급국,041-631-0007
