officeAddr,officeName,telephoneNo
충청북도 청주시 상당구 가덕면 병암리 93-2,가덕우체국,043-298-5100
강원도 인제군 북면 원통리 100,100군사우체국,033-461-2096
충청남도 논산시 강경읍 대흥리 8-11,강경대흥우편취급소,041-745-0876
충청북도 청주시 흥덕구 강내면 탑연리 160-2,강내우체국,043-233-2002
강원도 강릉시 교1동 1783,강릉교동우체국,033-643-0027
강원도 강릉시 옥천동 137,강릉옥천동우편취급소,070-4402-6655
강원도 강릉시 교1동 1783,강릉우편집중국,033-640-3833
강원도 원주시 단구동 1513,강원지방우정청,033-749-2025
경기도 수원시 권선구 탑동 910,경인지방우정청,031-8014-3218
서울특별시 서대문구 미근동 209,경찰청우체국,02-364-1015
경기도 고양시 일산동구 백석동 1327,고양우편집중국,031-920-5288
경기도 고양시 덕양구 주교동 615-4,고양주교동우체국,031-962-0100
충청남도 천안시 동남구 유량동 60-1,우정공무원교육원,041-560-5500
충청북도 괴산군 괴산읍 동부리 667-5,괴산우체국,043-834-6810
인천광역시 중구 운서동 2842-16,국제우편물류센터,032-745-9733
충청남도 태안군 근흥면 용신리 427-3,근흥우체국,041-673-1500
강원도 철원군 김화읍 학사리 252-2,김화우체국,033-458-2122
충청남도 보령시 남포면 옥서리 2-9,남포우체국,041-933-0205
충청북도 청주시 상당구 낭성면 이목리 82-3,낭성우체국,043-225-2118
충청남도 논산시 연무읍 고내리 944-10,논산황화우체국,041-742-0834
충청남도 당진시 정미면 천의리 243-9,당진정미우체국,041-353-2001
대전광역시 동구 가오동 561-1,대전가오동우체국,042-282-2002
대전광역시 서구 관저동 1136,대전관저2동우체국,042-545-2272
대전광역시 서구 관저동 999-2,대전관저동우체국,042-543-2005
대전광역시 중구 대흥동 103-1,대전대흥동우체국,042-253-6530
대전광역시 서구 둔산2동 908-5,대전둔산2동우체국,042-488-4166
대전광역시 중구 문화2동 772,대전문화2동우체국,042-584-2005
대전광역시 서구 변동 50-1,대전변동우체국,042-523-3385
대전광역시 서구 둔산1동 1420,대전시청우체국,042-471-2800
대전광역시 유성구 신성동 138-9,대전신성동우체국,042-861-3200
대전광역시 유성구 어은동 99,대전어은동우체국,042-862-2005
대전광역시 대덕구 법1동 344-16,대전영진우편취급소,042-623-3490
대전광역시 중구 오류동 156-1,대전오류동우체국,042-534-5116
대전광역시 동구 원동 34-1,대전우체국,042-250-7114
충청남도 계룡시 두마면 왕대리 80,대전우편집중국,042-602-1501
대전광역시 유성구 지족동 913,대전지족동우체국,042-477-0930
대전광역시 동구 판암1동 247,대전판암동우체국,042-273-1463
대전광역시 중구 호동 7-10,대전호동우체국,042-271-2005
대전광역시 동구 인동 353,대전효천우편취급소,042-272-2204
경기도 동두천시 생연1동 508-1,동두천우체국,031-862-1102
경기도 동두천시 중앙[생연3/4동]동 590-11,동두천중앙동우체국,031-862-2001
경기도 동두천시 지행동 692-7,동두천지행동우체국,031-857-0700
서울특별시 광진구 자양2동 680-65,동서울우편집중국,02-450-6006
충청북도 옥천군 동이면 평산리 976-11,동이우체국,043-732-3100
강원도 동해시 동회동 208-4,동해북삼동우체국,033-521-0247
경기도 연천군 미산면 우정리 405-6,미산우체국,031-833-7301
강원도 양구군 방산면 현리 25-6,방산우체국,033-481-5001
경기도 양주시 백석읍 방성리 81-15,백석우체국,031-879-2004
충청북도 제천시 백운면 평동리 231-1,백운우체국,043-652-6000
경기도 화성시 병점동 383-1,병점우체국,031-224-9749
충청남도 보령시 대천2동 187-8,보령대천동우체국,041-931-2010
충청남도 보령시 성주면 성주리 212-6,보령성주우체국,041-933-5205
